RAZON SOCIAL,DIRECCIÓN,MUNICIPIO,TEL-COM-1,ACTIVIDAD POR SECTORES - CIIU 1,LATITUD,LONGITUD,localizacion
FANS FOOTBALL,CARRERA 20 N 26-06,YOPAL,3133637196,BARES Y LICORES,"5,334,001","-72,393,083",POINT (-72393083 5334001)
SINALOA LICORERA BAR,CALLE 14 N18-52,YOPAL,3227217064,BARES Y LICORES,"5,342,699","-72,399,474",POINT (-72399474 5342699)
FUENTE DE SODA DONDE SIEMPRE,CALLE 37A  N 16 - 99,YOPAL,3108070075,BARES Y LICORES,"5,321,964","-72,393,479",POINT (-72393479 5321964)
LICORERA LA QUE FALTABA YOPAL,CARRERA 19 N 26-25,YOPAL,3163053522,BARES Y LICORES,"5,333,356","-72,393,941",POINT (-72393941 5333356)
LICORERA RIO LUNA,CALLE 40 TRANSV 6-81,YOPAL,3143947776,BARES Y LICORES,"5,323,869","-72,385,087",POINT (-72385087 5323869)
BILLAR Y MINITEJO LAS AMERICAS,CARRERA 30 N 49-38,YOPAL,3114928682,BARES Y LICORES,"5,324,161","-72,371,675",POINT (-72371675 5324161)
GUAYOYO CAFE BAR EL LLANO EN TU CORAZON,CARRERA 23 N 18 - 18,YOPAL,3186908531,BARES Y LICORES,"5,342,136","-72,393,681",POINT (-72393681 5342136)
LA TUSA RANCHO Y LICORES,CARRERA 29  N 25A-35,YOPAL,3007409089,BARES Y LICORES,"5,338,769","-72,384,730",POINT (-72384730 5338769)
YOPLAY BEER,CALLE 21 N 20-71,YOPAL,3117695801,BARES Y LICORES,"5,338,566","-72,394,841",POINT (-72394841 5338566)
SAN ALEJO LA 19,CARRERA 19 N 27-73,YOPAL,3212680629,BARES Y LICORES,"5,332,200","-72,393,243",POINT (-72393243 5332200)
THE PITS EVENTOS,CALLE 31 N 5-50,YOPAL,3123814864,BARES Y LICORES,"5,335,643","-72,380,136",POINT (-72380136 5335643)
BILLARES PALO DE AGUA,CARRERA 17 N 22-02,YOPAL,3132002162,BARES Y LICORES,"5,335,841","-72,397,302",POINT (-72397302 5335841)
EL PARAÃSO DEL BILLAR,CALLE 31 N 6-05,YOPAL,3203559153,BARES Y LICORES,"5,325,079","-72,403,951",POINT (-72403951 5325079)
BILLAR LA TALANQUERA  LA 19,CARRERA 19 N 17-05,YOPAL,3123955035,BARES Y LICORES,"5,340,799","-72,397,699",POINT (-72397699 5340799)
LICORES Y BEBIDAS LA HIELERA,CARRERA 19 N 30 - 80,YOPAL,3123975546,BARES Y LICORES,"5,329,799","-72,391,958",POINT (-72391958 5329799)
MANHATTAN BAR F&Y,CARRERA 21 N 17 - 74,YOPAL,3142797542,BARES Y LICORES,"5,341,047","-72,395,994",POINT (-72395994 5341047)
RESTAURANTE BAR RUMBOS DISTINTOS,CALLE 31 N 18 - 70,YOPAL,3204977046,BARES Y LICORES,"5,329,477","-72,392,052",POINT (-72392052 5329477)
BILLARES CLUB LA BARRA.,CARRERA 7 N  23-60,YOPAL,3005702714,BARES Y LICORES,"5,332,099","-72,408,429",POINT (-72408429 5332099)
DISTRIBUCIONES J.G,CARRERA 17 N 19 - 35,YOPAL,3144627411,BARES Y LICORES,"5,338,298","-72,398,276",POINT (-72398276 5338298)
BILLARES LA JUGADA YOPAL,CALLE 22 N 19-35,YOPAL,3102813656,BARES Y LICORES,"5,337,141","-72,395,494",POINT (-72395494 5337141)
EL KIOSKO RUMBERO BAR,CARRERA 21 N 21 - 72,YOPAL,3228520996,BARES Y LICORES,"5,338,007","-72,394,286",POINT (-72394286 5338007)
ESTADERO BAR LA POKERIA C.I.,CARRERA 45 N 30-38,YOPAL,3125495809,BARES Y LICORES,"5,340,779","-72,368,752",POINT (-72368752 5340779)
BRUSELAS LA PAISITA,CARRERA 18 N 29-46,YOPAL,3208940044,BARES Y LICORES,"5,330,587","-72,393,337",POINT (-72393337 5330587)
CIGARRERIA GOLD LABEL,CARRERA 20 N 28 - 66,YOPAL,3123135158,BARES Y LICORES,"5,332,020","-72,392,124",POINT (-72392124 5332020)
BILLAR BOLA 5,CALLE 22 N 17-37,YOPAL,3125229883,BARES Y LICORES,"5,336,216","-72,397,069",POINT (-72397069 5336216)
HANNAH PUB,CARRERA 20 N 27-06,YOPAL,3115524187,BARES Y LICORES,"5,333,156","-72,392,823",POINT (-72392823 5333156)
BEER HAUSS,CALLE 24  N 21-74,YOPAL,3142702063,BARES Y LICORES,"53,363,934","-72,392,436",POINT (-72392436 53363934)
BOLA SIETE DE LA 30,CALLE 30 N 14 - 03,YOPAL,3202373033,BARES Y LICORES,"5,328,244","-72,398,016",POINT (-72398016 5328244)
BLANCO Y NEGRO UNA NOCHE MAS DISCO BAR,CALLE 60 N 2A - 04,YOPAL,3138224287,BARES Y LICORES,"5,302,000","-72,411,654",POINT (-72411654 5302000)
D` CARNAVAL,CARRERA 20 N 27 - 34,YOPAL,3145674926,BARES Y LICORES,"5,333,007","-72,392,653",POINT (-72392653 5333007)
LICORERA BAR ACUARIOÂ´S DEL LLANO,CARRERA 19  N 22-23,YOPAL,6343759,BARES Y LICORES,"5,336,843","-72,395,455",POINT (-72395455 5336843)
BILLARES POOL BOLA 9,CALLE 46 N 6A - 37,YOPAL,3144714370,BARES Y LICORES,"5,312,576","-72,397,839",POINT (-72397839 5312576)
CAMPO DE TEJO LOS PAISANOS,CALLE 31 N 6 - 05,YOPAL,3217329407,BARES Y LICORES,"5,324,973","-72,403,983",POINT (-72403983 5324973)
