ORGANIZACIÓN JURÍDICA,CATEGORÍA,RAZÓN SOCIAL,NIT,DIRECCIÓN,BARRIO,TELÉFONO CONTACTO,EMAIL,PERSONAL,LATITUD,LONGITUD,LOCALIZACIÓN
ESTABLECIMIENTO,No Aplica,DROGUERIA SAN PEDRO,73057121,CRA 19 N 13 - 53,00005 - BRR BELLO HORIZONTE,6347239,hotel_puertadelllano@hotmail.com,0,5.3436745,-72.3990382,POINT (-72.3990382 5.3436745)
ESTABLECIMIENTO,No Aplica,DROGAS LA SABANA,42924934,CALLE 9  20-04,00026 - BRR EL CENTRO,6358417,asesoriasprofesionalesap@hotmail.com,0,5.3478074,-72.4003998,POINT (-72.4003998 5.3478074)
ESTABLECIMIENTO,No Aplica,DROGUERIAS ARISFARMA 2,9011384947,CALLE 10 N. 24-131,00026 - BRR EL CENTRO,3138850536,ruiz2cordoba@hotmail.com,2,5.3493203,-72.3956051,POINT (-72.3956051 5.3493203)
ESTABLECIMIENTO,No Aplica,CONSULTORIO MARIO HUMBERTO ARCHILA GONZALEZ,912169431,CARRERA 29 N. 12A - 21,00059 - BRR LOS LIBERTADORES,6354155,marioarchilago@hotmail.com,2,5.348706,-72.3917904,POINT (-72.3917904 5.348706)
ESTABLECIMIENTO,No Aplica,LA REBAJA PLUS MINIMARKET DROGUERIA NO. 2 YOPAL,8300116703,CARRERA 20 8-20,00026 - BRR EL CENTRO,6086356447,copservir@copservir.com,5,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,LA REBAJA PLUS MINIMARKET DROGUERIA NO 4 YOPAL,9002654083,CALLE 10 19-02/04/06/08,00026 - BRR EL CENTRO,6086354311,copservir@copservir.com,4,5.3462851,-72.4006598,POINT (-72.4006598 5.3462851)
ESTABLECIMIENTO,No Aplica,BEAUTY CENTER HEALTH & CARE DROGUERIAS,912993070,CALLE 8 N. 18 63,00026 - BRR EL CENTRO,3132070415,symcolombia@yahoo.com.co,5,5.3483979,-72.4019804,POINT (-72.4019804 5.3483979)
ESTABLECIMIENTO,No Aplica,DROGUERIA MARIANA SALOME,234666304,CARRERA 21 N. 12 - 72,00005 - BRR BELLO HORIZONTE,3103499639,mercedescardenas55@hotmail.com,1,5.3450688,-72.3981406,POINT (-72.3981406 5.3450688)
ESTABLECIMIENTO,No Aplica,MUNDO DROGAS,9005884248,CARRERA 20 N 9- 04,00026 - BRR EL CENTRO,3114499768,olgasuarezdenunez@hotmail.com,6,5.3477527,-72.4003919,POINT (-72.4003919 5.3477527)
ESTABLECIMIENTO,No Aplica,DROGUERIA YOPAL,170075266,CARRERA 20 N. 8-86,00026 - BRR EL CENTRO,3142132976,drogueriayopal1967@gmail.com,2,5.3480579,-72.4007436,POINT (-72.4007436 5.3480579)
SOCIEDADES ACCIONES SIMPLIFICADAS SAS,PRINCIPAL,COMERCIALIZADORA INSULLANOS SAS,8440022061,CALLE 33 N 28-47 TORRE 12 AP 103 ALTOS DE MANARE 2,00003 - BRR ALTOS DE MANARE,3123057529,comercializadorainsullanossas@gmail.com,1,5.3347314,-72.3839526,POINT (-72.3839526 5.3347314)
ESTABLECIMIENTO,No Aplica,AGROVETERINARIA AVICOLA CAMPESTRE,282724818,CARRERA 20 N 17-45,00030 - BRR EL GAVAN,3114821373,martharac@hotmail.com,5,5.3410328,-72.3965639,POINT (-72.3965639 5.3410328)
ESTABLECIMIENTO,No Aplica,DROGUERIA LA SALUD,474337512,CL 9 19 44,00005 - BRR BELLO HORIZONTE,3104808100,droguerialasalud@outlook.com,4,5.3473286,-72.400827,POINT (-72.400827 5.3473286)
ESTABLECIMIENTO,No Aplica,FARMARED PLUS DROGUERIA #7,748596726,CALLE 10 N 20-01 ESQ,00026 - BRR EL CENTRO,6359637,juancamilo_r@hotmail.com,0,5.3469971,-72.3998787,POINT (-72.3998787 5.3469971)
ESTABLECIMIENTO,No Aplica,DROGUERIA MEDIC - PERSONAL,94335351,CALLE 30  31-04,00084 - BRR VILLA BENILDA,6340355,rafapocho@hotmail.com,2,5.33661,-72.3811034,POINT (-72.3811034 5.33661)
ESTABLECIMIENTO,No Aplica,DROGUERIA AVENIDA,801876755,CARRERA 20 N. 12-76,00005 - BRR BELLO HORIZONTE,6357050,ojedablanca.1955@gmail.com,1,5.3445883,-72.3989161,POINT (-72.3989161 5.3445883)
ESTABLECIMIENTO,No Aplica,DROGUERIA SAN MARCOS,134896987,CALLE 24 N 29 03,00009 - BRR CARIBABARE,6321158,drogueria_sanmarcos@hotmail.com,2,5.3402526,-72.3857161,POINT (-72.3857161 5.3402526)
ESTABLECIMIENTO,No Aplica,DROGUERIA LA 40,525514489,CALLE 40 N 7-81,00078 - BRR SAN MATEO,6332529,esperanza979@hotmail.com,2,5.318505,-72.3990328,POINT (-72.3990328 5.318505)
ESTABLECIMIENTO,No Aplica,DROGUERIA JWC,520152968,CALLE 24 18-02,00075 - BRR PROVIVIENDA,6322907,cecilia5233@hotmail.com,2,5.3350123,-72.3951474,POINT (-72.3951474 5.3350123)
ESTABLECIMIENTO,No Aplica,DROGUERIA FAHRENHEIT,234666304,CALLE 35 25A 125,00032 - BRR EL OASIS,6349295,mercedescardenas55@hotmail.com,1,5.3299215,-72.3835313,POINT (-72.3835313 5.3299215)
ESTABLECIMIENTO,No Aplica,DROGUERIA ALEMANA 49,8902087889,CARRERA 29 N 14  06,00090 - BRR EL HOBO,6347522,asiscontabmanga@unidrogas.net.co,5,5.3475923,-72.3911043,POINT (-72.3911043 5.3475923)
ESTABLECIMIENTO,No Aplica,DROGAS SAN MATEO,682944491,CARRERA 19 NO 24 - 60,00075 - BRR PROVIVIENDA,3232848836,luzdary.buitragom@gmail.com,0,5.3347595,-72.394819,POINT (-72.394819 5.3347595)
ESTABLECIMIENTO,No Aplica,LA ESQUINA DE LA SALUD,95203277,TRANSVERSAL 23 NO. 3514,00032 - BRR EL OASIS,3108905822,jose.arenas.calixto567@gmail.com,1,5.348903,-72.400523,POINT (-72.400523 5.348903)
ESTABLECIMIENTO,No Aplica,COMERCIALIZADORA RAUL PEREZ,881968132,CARRERA 16 38 04,00026 - BRR EL CENTRO,3105530413,comercializadoradmc@outlook.com,2,5.3207195,-72.3941757,POINT (-72.3941757 5.3207195)
ESTABLECIMIENTO,No Aplica,DROGUERIA M.J. GUTIERREZ,474296811,CARRERA 15A N° 39- 51,00054 - BRR LOS ALMENDROS,3112511360,fredis_321@hotmail.com,1,5.3192795,-72.3942445,POINT (-72.3942445 5.3192795)
ESTABLECIMIENTO,No Aplica,DROGUERIA FORMEDICA,11159152881,CARRERA 24 N 19-75,00006 - BRR BICENTENARIO,3112369602,melbayfp@hotmail.com,0,5.34126,-72.3918827,POINT (-72.3918827 5.34126)
ESTABLECIMIENTO,No Aplica,DROGUERIA COFARMA,790510955,CARRERA 21 N. 10-68,00005 - BRR BELLO HORIZONTE,6335503,cofarma@outlook.com,2,5.3467301,-72.3988142,POINT (-72.3988142 5.3467301)
ESTABLECIMIENTO,No Aplica,DUARQUINT YOPAL,8300891478,CARRERA 14 17- 09,00045 - BRR LA ESPERANZA,6343393,coordinador.operativo@duarquint.com,2,5.3389956,-72.4016333,POINT (-72.4016333 5.3389956)
ESTABLECIMIENTO,No Aplica,SOLO BELLEZA DEL LLANO,236466529,CARRERA 20 12 72,00005 - BRR BELLO HORIZONTE,3214818452,elviasuarez2502@gmail.com,1,5.3446162,-72.3989315,POINT (-72.3989315 5.3446162)
ESTABLECIMIENTO,No Aplica,CENTRO NATURISTA FRUTOS Y ESPECIAS LIGTH,474341399,CALLE 10 N 18  96,00026 - BRR EL CENTRO,6330749,hugob1900@hotmail.com,1,5.3459895,-72.4009379,POINT (-72.4009379 5.3459895)
ESTABLECIMIENTO,No Aplica,TIENDA NATURISTA EL PUNTO DE LAS HOJAS VERDES,748659155,CALLE 10 N 21 112,00005 - BRR BELLO HORIZONTE,3212023245,haider_ferrer@hotmail.com,2,5.3476706,-72.3981304,POINT (-72.3981304 5.3476706)
ESTABLECIMIENTO,No Aplica,DROGUERIA BIOSALUD FARMA,10311220735,CALLE 40 TRANSV 6-95,00051 - BRR LAGUITO,6358696,biosaludfarma17614@gmail.com,1,5.3185294,-72.4016222,POINT (-72.4016222 5.3185294)
ESTABLECIMIENTO,No Aplica,DROGUERIA DROFARMAX,369995619,CALLE 24 N 25-75,00039 - BRR EL SALITRE,3144452502,elquijote2180@hotmail.com,3,5.338603,-72.388826,POINT (-72.388826 5.338603)
ESTABLECIMIENTO,No Aplica,DROGUERIA VILLA JULIANA,395460061,MARGINAL  4 - 16 CHAPARRERA,00026 - BRR EL CENTRO,3124479351,villajuliana2005@hotmail.com,1,5.348903,-72.400523,POINT (-72.400523 5.348903)
SOCIEDAD LIMITADA,AGENCIA,DROGAS LA ECONOMIA YOPAL,8605145925,CALLE 10 N. 18-02,00026 - BRR EL CENTRO,6357362,dpdarriendos@gmail.com,4,5.3451779,-72.4029248,POINT (-72.4029248 5.3451779)
ESTABLECIMIENTO,No Aplica,LA REBAJA PLUS MINIMARKET DROGUERÍA NO 5 YOPAL,8300116703,CARRERA 24 8 - 91/ 93-95,00026 - BRR EL CENTRO,6086324047,copservir@copservir.com,5,5.3501046,-72.396757,POINT (-72.396757 5.3501046)
ESTABLECIMIENTO,No Aplica,DROGAS MARIÑO,264713325,TRANSVERSAL 7 N. 33B - 21,00123 - BRR BRISAS DEL LLANO,3143018902,yageca12@hotmail.com,1,5.3229966,-72.4020534,POINT (-72.4020534 5.3229966)
ESTABLECIMIENTO,No Aplica,DROGUERIA NUEVO AMANECER,748588047,CALLE 20 N 13 - 85,00071 - BRR PRIMERO DE MAYO,3133430143,h.avella.vega@hotmail.com,2,5.3364392,-72.4009161,POINT (-72.4009161 5.3364392)
ESTABLECIMIENTO,No Aplica,LA REBAJA PLUS MINIMARKET DROGUERIA NO. 3 YOPAL,8300116703,CALLE 9A 18A - 44,00026 - BRR EL CENTRO,60866723636,copservir@copservir.com,2,5.3461229,-72.4012675,POINT (-72.4012675 5.3461229)
ESTABLECIMIENTO,No Aplica,TIENDA NATURISTA MUNDO NATURAL,794959850,CARRERA 19 N 9A-10,00026 - BRR EL CENTRO,3103439896,ricodavid98@yahoo.com,2,5.346595,-72.4010082,POINT (-72.4010082 5.346595)
