MATRICULA;RAZON SOCIAL;MUN-COMERCIAL;EMAIL-COMERCIAL;CIIU-1;ACTIVIDAD
100014;DROGUERIA NORHORIZONTE;76147 - CARTAGO;ramiro-r-m@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES  COSMÉTICOS Y ARTÍCULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
100058;TIENDA NATURISTA REINO VEGETAL ROLDANILLO;76622 - ROLDANILLO;strikergamer639@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS MEDICINALES Y NATURALES
100076;DROGUERIA MEDICAR CARTAGO 5;76147 - CARTAGO;walters.0@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;ERROR: #NAME?
100102;NUTRINATURAL CARTAGO;76147 - CARTAGO;alexisinfo4600@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
100113;DROGUERIA AMERICANA 2;76020 - ALCALA;patriciarojas93@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
100124;CENTRO NATUROPATA VIDA ALTERNATIVA;76400 - LA UNION;marilyn.rouse.ms@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS NATURALES
100169;VARIEDADES ANGIE M.L;76400 - LA UNION;marychave@outlook.es;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS COSMÉTICOS
100209;AH PERFUMERÍA;76400 - LA UNION;alejandra.hernandez20143@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PERFUMES.
100252;TIENDA NATURISTA PURA VIDA;76147 - CARTAGO;tiendanpuravida2020@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS NATURALES
100275;DROGUERIA AMIGA ARGELIA;76054 - ARGELIA;oscarsta2017@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
100393;DROGUERIA POPULAR ALCALA;76020 - ALCALA;alejitorodriguez@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
100431;MI DROGUERÍA Y.Y;76400 - LA UNION;alvaroyyudy@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIALIZACIÓN DE PRODUCTOS FARMACÉUTICOS
100450;SUPPLIESALUD S.A.S.;76147 - CARTAGO;suppliesalud521@gmail.com;G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador;DISTRIBUCIÓN DE PRODUCTOS FARMACÉUTICOS
100490;TIENDA NATURISTA UN MUNDO DE VIDA;76400 - LA UNION;jamaji66@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS NATURALES
100592;MAKYPOP;76147 - CARTAGO;info@makypop.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE MAQUILLAJE
100633;PERFUMARES ROLDANILLO;76622 - ROLDANILLO;administracion@distriares.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados
100763;MILAGROS CARTAGO;76147 - CARTAGO;milagros.risaralda@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;VENTA DE PRODUCTOS PARA EL CUIDADO FACIAL  CAPILAR.
100882;ALAMBIC DE PLANTAS;76622 - ROLDANILLO;auraquizza@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COLECTO MATERIAL LEÑOSO (HOJAS SECAS) Y SE DESTILA EL PRODUCTO CON UN ALAMBIQUE DE COBRE ARTESANAL PARA PRODUCIR ACEITE ESENCIAL E HIDROLATO
100903;CASALUD PRODUCTOS NATURALES;76400 - LA UNION;jaimejmarinm@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES  COSMÉTICOS Y ARTÍCULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS.
101047;SERVICIOS DIAGNOSTICOS INTEGRALES EN SALUD;76147 - CARTAGO;alfox1988@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;PRESTACIÓN DE SERVICIOS DE SALUD DE APOYO DIAGNOSTICO Y TERAPÉUTICO. COMERCIALIZACIÓN Y APOYO TECNOLÓGICO DE EQUIPOS MÉDICOS Y VENTA SE REACTIVOS E INSUMOS MÉDICOS
101191;PALO SANTO COSMÉTICA NATURAL;76400 - LA UNION;nataliaramirezgarciapi@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO DE PRODUCTOS COSMÉTICOS COMERCIO DE PRENDAS DE VESTIR Y SUS ACCESORIOS Y VENTA DE CALZADO.
101197;MATTE TIENDA DE BELLEZA;76147 - CARTAGO;mattetiendadebelleza@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
101217;BLUE ROSE PARIS;76147 - CARTAGO;zaratejefferson826@gmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PERFUMES
101508;DROGUERIA DASALUD CARTAGO;76147 - CARTAGO;svc_63095@hotmail.com;G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados;COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS
